追风筝的人,https://book.douban.com/subject/1770782/,8.9,414420人评价,为你，千千万万遍
解忧杂货店,https://book.douban.com/subject/25862578/,8.5,399201人评价,一碗精心熬制的东野牌鸡汤，拒绝很难
小王子,https://book.douban.com/subject/1084336/,9.0,337359人评价,献给长成了大人的孩子们
白夜行,https://book.douban.com/subject/3259440/,9.1,294689人评价,暗夜独行的残破灵魂，爱与恶本就难分难舍
围城,https://book.douban.com/subject/1008145/,8.9,250747人评价,对于“人艰不拆”四个字最彻底的违抗
三体,https://book.douban.com/subject/2567698/,8.8,244228人评价,你我不过都是虫子
嫌疑人X的献身,https://book.douban.com/subject/3211779/,8.9,239925人评价,数学好是一种极致的浪漫
挪威的森林,https://book.douban.com/subject/1046265/,8.0,236633人评价,村上之发轫，多少人的青春启蒙
活着,https://book.douban.com/subject/4913064/,9.3,192123人评价,生的苦难与伟大
百年孤独,https://book.douban.com/subject/6082808/,9.2,181439人评价,尼采所谓的永劫复归，一场无始无终的梦魇
红楼梦,https://book.douban.com/subject/1007305/,9.6,172801人评价,谁解其中味？
看见,https://book.douban.com/subject/20427187/,8.8,176440人评价,在这里看见中国
不能承受的生命之轻,https://book.douban.com/subject/1017143/,8.5,162055人评价,朝向媚俗的一次伟大的进军
平凡的世界（全三部）,https://book.douban.com/subject/1200840/,9.0,149266人评价,中国当代城乡生活全景
三体Ⅱ,https://book.douban.com/subject/3066477/,9.3,143688人评价,无边的黑暗森林，比第一部更为恢弘壮丽
三体Ⅲ,https://book.douban.com/subject/5363767/,9.2,142157人评价,终章，何去何从
达·芬奇密码,https://book.douban.com/subject/1040771/,8.2,158508人评价,一切畅销的因素都有了
我们仨,https://book.douban.com/subject/1023045/,8.7,133265人评价,平淡，坚忍，温情
简爱（英文全本）,https://book.douban.com/subject/1141406/,8.5,134038人评价,灰姑娘在十九世纪
天才在左 疯子在右,https://book.douban.com/subject/4242172/,8.1,141650人评价,简称“疯癫与文明”
哈利·波特与魔法石,https://book.douban.com/subject/1041007/,9.0,117826人评价,羽加迪姆勒维奥萨！
傲慢与偏见,https://book.douban.com/subject/1083428/,8.8,118198人评价,所有现代言情小说的母体
明朝那些事儿（壹）,https://book.douban.com/subject/1873231/,8.7,118190人评价,历史本就是一件件“事儿”拼成的
目送,https://book.douban.com/subject/3995526/,8.7,118538人评价,不必追
恶意,https://book.douban.com/subject/3646172/,8.4,113492人评价,无缘由的恨，冰冷彻骨
飘,https://book.douban.com/subject/1068920/,9.3,103393人评价,革命时期的爱情，随风而逝
霍乱时期的爱情,https://book.douban.com/subject/10594787/,9.0,105029人评价,义无反顾地直达爱情的核心
倾城之恋,https://book.douban.com/subject/1090043/,8.5,111029人评价,一段姻缘，需要一座城的倾覆来成全
撒哈拉的故事,https://book.douban.com/subject/1361264/,9.0,103077人评价,关于漂泊的一切
边城,https://book.douban.com/subject/1057244/,8.6,105947人评价,如水一般的忧愁与怅惘
许三观卖血记,https://book.douban.com/subject/1029791/,8.7,103059人评价,余华的悲凉，都在那一碗炒猪肝里了
送你一颗子弹,https://book.douban.com/subject/4238362/,8.6,105287人评价,犀利又温柔，穿过胸口隐隐作痛
哈利·波特与阿兹卡班的囚徒,https://book.douban.com/subject/1071241/,8.9,95281人评价,小天狼星布莱克
狼图腾,https://book.douban.com/subject/1022060/,8.2,104131人评价,我们都是 狼的传人？
情人,https://book.douban.com/subject/1400705/,8.1,106006人评价,我已经老了，你呢？
哈利·波特与火焰杯,https://book.douban.com/subject/1009257/,9.0,91696人评价,整个系列的分水岭，暗色渐浓
哈利·波特与密室,https://book.douban.com/subject/1039487/,8.9,91897人评价,渐入佳境，魔法世界全貌初现
穆斯林的葬礼,https://book.douban.com/subject/1082334/,8.2,99405人评价,时代烙印鲜明的民族史诗
万历十五年,https://book.douban.com/subject/1041482/,8.9,90684人评价,见微知著，历史观的颠覆
盗墓笔记,https://book.douban.com/subject/1948901/,8.3,96003人评价,想象奇诡的大型RPG游戏
窗边的小豆豆,https://book.douban.com/subject/1007914/,8.7,88270人评价,真正懂孩子的教育经
1Q84 BOOK 1,https://book.douban.com/subject/4742918/,8.3,92660人评价,村上的野望，欢迎来到1Q84年
人间失格,https://book.douban.com/subject/4011670/,8.3,90907人评价,令人无从怜悯的绝望
黄金时代,https://book.douban.com/subject/1089243/,8.8,82412人评价,能把性爱写得如此坦荡的，大概只有王二了
哈利·波特与混血王子,https://book.douban.com/subject/1432596/,8.8,80434人评价,感情线纷乱的一部。再见邓布利多
老人与海,https://book.douban.com/subject/1064275/,8.3,85590人评价,正是悲壮赋予生活以意义
1984,https://book.douban.com/subject/4820710/,9.3,75415人评价,栗树荫下，我出卖你，你出卖我
向左走·向右走,https://book.douban.com/subject/1066462/,8.4,83523人评价,两条平行线相遇的可能
三国演义（全二册）,https://book.douban.com/subject/1019568/,9.2,74431人评价,是非成败转头空
人类简史,https://book.douban.com/subject/25985021/,9.1,75068人评价,跟着人类一同走过十万年
哈利·波特与凤凰社,https://book.douban.com/subject/1013129/,8.7,76842人评价,暴脾气的哈利
苏菲的世界,https://book.douban.com/subject/1045818/,8.5,79582人评价,最平易近人的哲学入门
悟空传,https://book.douban.com/subject/1003000/,8.4,81845人评价,猴子还是那个猴子，世界早已不是原来的世界
牧羊少年奇幻之旅,https://book.douban.com/subject/3608208/,8.6,78911人评价,你自己就是最大的宝藏
莲花,https://book.douban.com/subject/1529893/,8.0,83562人评价,三个生命的交逢，灵魅清冷
天龙八部,https://book.douban.com/subject/1255625/,9.1,72024人评价,“有情皆孽，无人不冤”
哈利·波特与死亡圣器,https://book.douban.com/subject/2295163/,9.0,71615人评价
呼啸山庄,https://book.douban.com/subject/1119522/,8.4,74064人评价,近乎暴虐的爱与恨，中文译名后无来者
亲爱的安德烈,https://book.douban.com/subject/3369793/,8.7,71834人评价,龙应台母子对话，两代人的思想碰撞
无声告白,https://book.douban.com/subject/26382433/,8.2,75409人评价,莉迪亚死了，可他们还不知道
基督山伯爵,https://book.douban.com/subject/1085860/,9.0,67422人评价,完美的复仇，金庸用法语写作应该就是这样
鲁滨逊漂流记,https://book.douban.com/subject/1016003/,8.0,75501人评价,最早的荒野求生
灿烂千阳,https://book.douban.com/subject/2143732/,8.8,67935人评价,唯有希望与爱可以驱散阴霾
海边的卡夫卡,https://book.douban.com/subject/1059419/,8.1,73195人评价,背负诅咒的少年，平行世界中的奥德赛
白鹿原,https://book.douban.com/subject/1085799/,8.7,66499人评价,中国乡村史诗
笑傲江湖（全四册）,https://book.douban.com/subject/1002299/,9.0,63768人评价,武侠的壳，政治斗争的核
兄弟（上）,https://book.douban.com/subject/1401425/,8.3,68938人评价,历史苦难中的个人灾变
茶花女,https://book.douban.com/subject/1013380/,8.2,70435人评价,妓女应当拥有爱情吗？
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,9.2,62452人评价,以血书写的文学
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,9.2,61101人评价,侦探小说鼻祖
一个陌生女人的来信,https://book.douban.com/subject/2154960/,8.7,65730人评价,暗恋的极致
少有人走的路,https://book.douban.com/subject/1775691/,8.4,66565人评价,成熟的心智通向更完善的自我
沉默的大多数,https://book.douban.com/subject/1054685/,9.1,61363人评价,沉默是沉默者的通行证
局外人,https://book.douban.com/subject/4908885/,9.0,60678人评价,人生在世，永远也不该演戏作假
骆驼祥子,https://book.douban.com/subject/1043815/,8.3,65086人评价,如骆驼喘息般深刻的绝望
情书,https://book.douban.com/subject/1080370/,8.6,61244人评价,一场误会中的两段爱情，东方式的含蓄隐忍
民主的细节,https://book.douban.com/subject/3813669/,8.6,60743人评价,公民养成手册
东方快车谋杀案,https://book.douban.com/subject/1827374/,9.0,57309人评价,谋杀诡计惊人，波洛的抉择耐人寻味
神雕侠侣,https://book.douban.com/subject/1255624/,8.8,57572人评价,至情至性，情大于武
了不起的盖茨比,https://book.douban.com/subject/1008988/,8.3,61054人评价,梦，就像黛西家的那一缕绿光
遇见未知的自己,https://book.douban.com/subject/2340100/,8.0,62608人评价,都市灵修速成
无人生还,https://book.douban.com/subject/3006581/,8.9,55825人评价,童谣杀人案
肖申克的救赎,https://book.douban.com/subject/1829226/,9.1,53306人评价,希望让人自由，电影实在太有名
巴黎圣母院,https://book.douban.com/subject/1024197/,8.3,58571人评价,潜藏于残缺下的美与崇高
羊脂球,https://book.douban.com/subject/1205370/,8.1,59303人评价,资产阶级的道貌岸然
呐喊,https://book.douban.com/subject/1449351/,8.9,53118人评价,新文学的第一声呐喊
当我谈跑步时我谈些什么,https://book.douban.com/subject/3369600/,8.1,58137人评价,村上同志告诉我们，身体是革命的本钱
乌合之众,https://book.douban.com/subject/1012611/,8.2,57515人评价,群氓心理剖析
动物农场,https://book.douban.com/subject/2035179/,9.2,50384人评价,太阳底下并无新事
爱你就像爱生命,https://book.douban.com/subject/3071717/,8.8,52530人评价,王小波与李银河的两地书
红玫瑰与白玫瑰,https://book.douban.com/subject/1014278/,8.4,54181人评价,蚊子血还是饭黏子？
安徒生童话故事集,https://book.douban.com/subject/1046209/,9.2,48393人评价,远不是童话那么简单
巨人的陨落,https://book.douban.com/subject/26698660/,8.9,48826人评价,五个家族，一场战争
鬼吹灯之精绝古城,https://book.douban.com/subject/1882933/,8.1,52214人评价,盗墓祖师名不虚传
这些都是你给我的爱,https://book.douban.com/subject/4714734/,8.4,51001人评价,只言片语的温暖
这些人，那些事,https://book.douban.com/subject/6388661/,8.8,48320人评价,平淡叙述下的惊心动魄
华胥引（全二册）,https://book.douban.com/subject/5916880/,8.4,50340人评价,现实不如梦中的圆满
陪安东尼度过漫长岁月,https://book.douban.com/subject/3014576/,8.3,50475人评价,真正的片段式写作
喜宝,https://book.douban.com/subject/2022979/,8.0,52348人评价,爱情才是终极的奢侈品
半生缘,https://book.douban.com/subject/1963684/,8.6,47997人评价,世钧，我们回不去了
城南旧事,https://book.douban.com/subject/1254588/,9.0,44274人评价,长亭外，古道边，芳草碧连天
阿Q正传,https://book.douban.com/subject/1088065/,8.7,45036人评价,哀其不幸，怒其不争
射雕英雄传（全四册）,https://book.douban.com/subject/1044547/,8.9,42988人评价,侠之大者，为国为民
月亮与六便士,https://book.douban.com/subject/26954760/,8.8,44621人评价
我不喜欢这世界，我只喜欢你,https://book.douban.com/subject/26414020/,8.0,45212人评价,一想到能和你共度余生，我就对余生充满期待
一个人的朝圣,https://book.douban.com/subject/24934182/,8.1,46768人评价,关于爱和信念的旅行
梦里花落知多少,https://book.douban.com/subject/2070844/,8.8,42852人评价,哀而不伤
一只特立独行的猪,https://book.douban.com/subject/1767945/,8.8,42431人评价,生活就是个缓慢受锤的过程，至少还可以特立独行
如何阅读一本书,https://book.douban.com/subject/1013208/,8.4,44561人评价,读书的方法论
地下铁,https://book.douban.com/subject/1056733/,8.3,43943人评价,黑暗世界中的点滴亮光
格林童话全集,https://book.douban.com/subject/1043008/,9.0,39341人评价,许多隐晦
孩子你慢慢来,https://book.douban.com/subject/4207781/,8.8,39924人评价,我们现在怎样做母亲
朝花夕拾,https://book.douban.com/subject/1449352/,8.7,39103人评价,鲁迅的旧事重提
孤独六讲,https://book.douban.com/subject/4124727/,8.1,42563人评价,作为一种美学的孤独
月亮忘記了,https://book.douban.com/subject/1358873/,8.6,39674人评价,月明星稀的晚上，看不见的，看见了
刀锋,https://book.douban.com/subject/2035162/,9.0,37481人评价,一把刀的锋刃不容易越过；因此智者说得救之道是困难的
此间的少年,https://book.douban.com/subject/1020459/,8.4,40415人评价,象牙塔里的金庸群侠
麦琪的礼物,https://book.douban.com/subject/1051193/,8.6,38964人评价,日常的奇迹
步步惊心,https://book.douban.com/subject/1812439/,8.1,41718人评价,现世太苦，不如穿越回去从头来过
尘埃落定,https://book.douban.com/subject/1080309/,8.4,37988人评价,一个傻子的土司家族传奇
杀死一只知更鸟,https://book.douban.com/subject/6781808/,9.2,34710人评价,有一种东西不能遵循从众原则，那就是——人的良心
菊与刀,https://book.douban.com/subject/1022238/,8.2,39603人评价,复杂矛盾的日本民族
荆棘鸟,https://book.douban.com/subject/1086249/,8.6,36778人评价,澳洲乱世情
一個人住第5年,https://book.douban.com/subject/1346815/,8.4,37792人评价,独居生活之乐
哭泣的骆驼,https://book.douban.com/subject/1029111/,8.9,34939人评价,沙漠中寻常的生与死
那些回不去的年少时光,https://book.douban.com/subject/4231381/,8.5,36538人评价,所有你曾热爱却正在遗忘的人和事
球状闪电,https://book.douban.com/subject/1192090/,8.7,35966人评价,量子之外，没有真相
常识,https://book.douban.com/subject/3344676/,8.1,38705人评价,献给这个常识稀缺的时代
寻路中国,https://book.douban.com/subject/5414391/,9.0,34534人评价,中国在路上，非虚构写作所能达到的高度
查令十字街84号,https://book.douban.com/subject/1316648/,8.3,37817人评价,文艺青年的爱情地标
金锁记,https://book.douban.com/subject/3017857/,8.5,36495人评价,曹七巧就像希克厉，一个扭曲的英雄
海底两万里,https://book.douban.com/subject/1085470/,8.4,36786人评价,你听说过鹦鹉螺号吗？
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,8.8,34729人评价,原作名切题
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,8.9,33922人评价,现实主义与浪漫主义的至高杰作
时间旅行者的妻子,https://book.douban.com/subject/2056749/,8.1,37704人评价,在时间的缝隙中穿行，然后相遇
海贼王,https://book.douban.com/subject/1474773/,9.5,30993人评价,热血，梦想，希望
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,8.7,34238人评价,完美主义者的最高形态
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,8.8,33576人评价,武侠的解构，流氓的狂欢
你今天真好看,https://book.douban.com/subject/26602392/,8.7,34161人评价,呆萌可爱的动物段子手
飞鸟集,https://book.douban.com/subject/1058661/,8.9,33256人评价,淡泊，超脱
失恋33天,https://book.douban.com/subject/4238754/,8.1,36710人评价,失恋是一种病，痊愈之后百毒不侵
流浪地球,https://book.douban.com/subject/3266609/,8.6,34999人评价
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,8.2,35011人评价,人穷穷观念，人富钱生钱
东霓,https://book.douban.com/subject/4874131/,8.1,36069人评价,自毁而偏执的东霓
长恨歌,https://book.douban.com/subject/1082349/,8.2,35548人评价,现代上海史诗
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,8.6,33065人评价,不识张郎是张郎
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,8.2,34927人评价,欧洲，为什么老是抢第一？
水浒传（全二册）,https://book.douban.com/subject/1008357/,8.5,32975人评价,风风火火闯九州
雷雨,https://book.douban.com/subject/1013416/,8.6,33239人评价,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
历史深处的忧虑,https://book.douban.com/subject/1027191/,9.0,31025人评价,窥见美国社会的一扇窗
伊豆的舞女,https://book.douban.com/subject/1005521/,8.2,34396人评价,静美又残酷，无限柔软的川端
西游记（全二册）,https://book.douban.com/subject/1029553/,8.8,31132人评价,取经之路就在脚下
时间简史,https://book.douban.com/subject/1034282/,8.8,31122人评价,霍金与上帝的战争
大地之灯,https://book.douban.com/subject/1963310/,8.2,33563人评价,两代人的成长与救赎
狂人日记,https://book.douban.com/subject/1398395/,8.7,30894人评价,中国现代文学史上第一篇真正的现代白话小说
瓦尔登湖,https://book.douban.com/subject/1865089/,8.4,32487人评价,另一种生活
最好的我们,https://book.douban.com/subject/24754316/,8.8,30245人评价,耿耿余淮
中国历代政治得失,https://book.douban.com/subject/1003479/,9.1,29073人评价,一部简明的“中国政治制度史”
红与黑,https://book.douban.com/subject/1007433/,8.2,32866人评价,阴谋与爱情
一九八四·动物农场,https://book.douban.com/subject/1082387/,9.3,28649人评价,一个预言和一个寓言，令人窒息的政治恐怖
橙,https://book.douban.com/subject/5327697/,8.2,32127人评价,定做一个刻着“不过如此”的章，盖在封面上
香水,https://book.douban.com/subject/1292416/,8.5,30867人评价,恋味癖谋杀案
匆匆那年（上下）,https://book.douban.com/subject/2567919/,8.3,31981人评价,不悔梦归处 只恨太匆匆
影响力,https://book.douban.com/subject/1786387/,8.6,30199人评价,营销防骗指南
陆犯焉识,https://book.douban.com/subject/6880158/,8.8,29312人评价,翻手为苍凉，覆手为繁华
看不见的城市,https://book.douban.com/subject/1863930/,8.8,29465人评价,每一座城市都只在想象中耸立，又在描述中坍圮
我与地坛,https://book.douban.com/subject/1209899/,9.0,28590人评价,这是你的罪孽与福祉
世界尽头与冷酷仙境,https://book.douban.com/subject/1291809/,8.6,30306人评价,交叉平行蒙太奇
夏洛的网,https://book.douban.com/subject/1036274/,8.5,30188人评价,猪与蜘蛛
呼兰河传,https://book.douban.com/subject/1060852/,8.9,29157人评价,萧红的童年往事
江城,https://book.douban.com/subject/7060185/,9.0,28164人评价,外国人的寻路中国
冰与火之歌（卷一）,https://book.douban.com/subject/1336330/,9.3,27079人评价,凛冬将至。无比宏大的世界观
把时间当作朋友,https://book.douban.com/subject/3609132/,8.5,30078人评价,反成功学的成功学
那些年，我们一起追的女孩,https://book.douban.com/subject/1958227/,8.2,31135人评价,那些年错过的大雨
自控力,https://book.douban.com/subject/10786473/,8.3,30332人评价,要么瘦，要么死
阿狸·梦之城堡,https://book.douban.com/subject/3554154/,9.0,27270人评价,治愈
往事并不如烟,https://book.douban.com/subject/1059336/,8.6,28225人评价,知识分子的命运浮沉
天使与魔鬼,https://book.douban.com/subject/1228110/,8.1,29863人评价,科学与宗教的大乱斗
七夜雪,https://book.douban.com/subject/1919201/,8.4,28616人评价,抵不过时间
变形记,https://book.douban.com/subject/1213546/,8.4,29002人评价,格里高里清早醒来发现自己变成了甲虫
ZOO,https://book.douban.com/subject/2297697/,8.6,27988人评价,噩梦中的一丝温度
人生,https://book.douban.com/subject/3803820/,8.4,28295人评价,如果你是高加林，你要如何选择？
蔷薇岛屿,https://book.douban.com/subject/1063190/,8.0,29554人评价,你们不会彼此遗忘。只会彼此消失
国境以南 太阳以西,https://book.douban.com/subject/1015452/,8.3,28505人评价,灾星下出生的恋人们
我的天才女友,https://book.douban.com/subject/26878124/,8.5,27635人评价
人性的弱点全集,https://book.douban.com/subject/1056295/,8.3,27835人评价,西方世界最持久的人文畅销书
最初的爱情 最后的仪式,https://book.douban.com/subject/4011440/,8.0,28629人评价,别被封面骗了
京华烟云,https://book.douban.com/subject/1391191/,8.5,26690人评价,林语堂的《红楼梦》
没有色彩的多崎作和他的巡礼之年,https://book.douban.com/subject/25733470/,8.2,27285人评价,并不是一切都消失在了时间的长河里
文学回忆录（全2册）,https://book.douban.com/subject/20440644/,9.2,24199人评价,木心留给世界的礼物
一句顶一万句,https://book.douban.com/subject/3633461/,8.7,25558人评价,一句胜过千年
生活在别处,https://book.douban.com/subject/1013225/,8.4,26518人评价,此处的生活唯有残酷
未来简史,https://book.douban.com/subject/26943161/,8.4,25941人评价
尼罗河上的惨案,https://book.douban.com/subject/1818347/,8.7,25035人评价,阿婆代表作之一
项链,https://book.douban.com/subject/1258498/,8.3,25866人评价
心是孤独的猎手,https://book.douban.com/subject/1424741/,8.5,25413人评价,镇上有两个哑巴，他们总是在一起。
设计中的设计,https://book.douban.com/subject/1941558/,8.6,25091人评价,日常生活的无限可能性
佛祖在一号线,https://book.douban.com/subject/4872671/,8.2,26271人评价,嬉笑怒骂的常识分子
激荡三十年（上）,https://book.douban.com/subject/1970428/,8.8,24256人评价,这是一个最好的时代，也是一个最坏的时代
父与子全集,https://book.douban.com/subject/1002898/,9.2,22908人评价
我执,https://book.douban.com/subject/3642673/,8.0,26593人评价,梁文道的私密日记
罗生门,https://book.douban.com/subject/3136271/,8.7,24396人评价
偷书贼,https://book.douban.com/subject/2180619/,8.0,25802人评价,不能说偷，是窃，窃你懂吗
人间词话,https://book.douban.com/subject/1203426/,9.0,22859人评价
一千零一夜,https://book.douban.com/subject/1035848/,8.6,23759人评价
九州·缥缈录,https://book.douban.com/subject/1321017/,8.8,22838人评价,乱世的英雄史诗
我的精神家园,https://book.douban.com/subject/1014578/,9.1,22371人评价,活过，爱过，写过
妻妾成群,https://book.douban.com/subject/1025753/,8.2,24712人评价
野火集,https://book.douban.com/subject/1426971/,8.8,22823人评价,中国人你为什么不生气？
海子的诗,https://book.douban.com/subject/1011754/,8.9,22273人评价
第一炉香,https://book.douban.com/subject/1082162/,8.4,23742人评价
面纱,https://book.douban.com/subject/10560798/,8.7,22691人评价
芳华,https://book.douban.com/subject/27010212/,8.1,24354人评价
雨季不再来,https://book.douban.com/subject/2136140/,8.7,22769人评价
教父,https://book.douban.com/subject/1092335/,9.0,21691人评价
占星术杀人魔法,https://book.douban.com/subject/3187737/,8.3,23413人评价,一桩占星术连续杀人案件
娱乐至死,https://book.douban.com/subject/1062193/,8.6,23038人评价
舞！舞！舞！,https://book.douban.com/subject/1020670/,8.3,23374人评价,深入村上春树的心灵腹地
浪潮之巅,https://book.douban.com/subject/6709783/,9.1,21115人评价,了解IT领域的入门读物
斯通纳,https://book.douban.com/subject/26425831/,8.8,21593人评价
万水千山走遍,https://book.douban.com/subject/1036490/,8.8,21371人评价
哈姆莱特,https://book.douban.com/subject/1006197/,8.5,22088人评价
动物凶猛,https://book.douban.com/subject/1143694/,8.3,22586人评价
高效能人士的七个习惯（精华版）,https://book.douban.com/subject/1048007/,8.2,22461人评价
子不语1,https://book.douban.com/subject/4188697/,9.0,20229人评价
台北人,https://book.douban.com/subject/5337248/,8.9,20514人评价
小姨多鹤,https://book.douban.com/subject/3012517/,8.6,21393人评价
新名字的故事,https://book.douban.com/subject/26986954/,9.0,20259人评价
罗杰疑案,https://book.douban.com/subject/1807516/,8.9,20170人评价
雾都孤儿,https://book.douban.com/subject/1203251/,8.1,22383人评价
爱的艺术,https://book.douban.com/subject/3026879/,8.8,20383人评价
观念的水位,https://book.douban.com/subject/20463108/,8.3,21799人评价
夹边沟记事,https://book.douban.com/subject/3239549/,9.2,19285人评价
巨流河,https://book.douban.com/subject/4842446/,8.7,20443人评价
动物庄园,https://book.douban.com/subject/1018136/,9.1,19266人评价
白银时代,https://book.douban.com/subject/1082150/,8.4,21107人评价
新参者,https://book.douban.com/subject/6746289/,8.4,21259人评价
中国大历史,https://book.douban.com/subject/1015699/,8.3,21350人评价
琅琊榜,https://book.douban.com/subject/2326571/,8.5,20054人评价
寻羊冒险记,https://book.douban.com/subject/1031740/,8.1,21455人评价
枪炮、病菌与钢铁,https://book.douban.com/subject/1813841/,8.8,19666人评价
告白,https://book.douban.com/subject/3920130/,8.6,19829人评价
红拂夜奔,https://book.douban.com/subject/1418686/,8.6,19852人评价
云中歌1,https://book.douban.com/subject/2283084/,8.1,21344人评价
来不及说我爱你,https://book.douban.com/subject/1886385/,8.1,20904人评价
带一本书去巴黎,https://book.douban.com/subject/1001885/,8.5,19770人评价
相约星期二,https://book.douban.com/subject/2194123/,8.4,19934人评价
退步集,https://book.douban.com/subject/1003284/,8.1,20380人评价
可爱的洪水猛兽,https://book.douban.com/subject/3860856/,8.1,20498人评价
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,9.0,17872人评价
